NO,TIME,SUHU,SET POINT,EROR,DELTA EROR,OUTPUT ANFIS,OUTPUT M
1,00:34:00,32.44,60.00,27.56,0.00,7.85,M3
2,00:34:02,32.44,60.00,27.56,0.00,7.85,M3
3,00:34:04,32.50,60.00,27.50,-0.06,2.58,M3
4,00:34:06,32.50,60.00,27.50,0.00,8.18,M3
5,00:34:08,32.50,60.00,27.50,0.00,8.18,M3
6,00:34:10,32.50,60.00,27.50,0.00,8.18,M3
7,00:34:12,32.50,60.00,27.50,0.00,8.18,M3
8,00:34:14,32.56,60.00,27.44,-0.06,2.58,M3
9,00:34:16,32.56,60.00,27.44,0.00,8.52,M3
10,00:34:18,32.62,60.00,27.38,-0.06,2.58,M3
11,00:34:20,32.69,60.00,27.31,-0.06,2.58,M3
12,00:34:22,32.69,60.00,27.31,0.00,9.24,M3
13,00:34:24,32.81,60.00,27.19,-0.12,2.56,M3
14,00:34:26,32.81,60.00,27.19,0.00,9.99,M3
15,00:34:28,32.88,60.00,27.12,-0.06,2.58,M3
16,00:34:30,33.00,60.00,27.00,-0.12,2.56,M3
17,00:34:32,33.06,60.00,26.94,-0.06,2.58,M3
18,00:34:34,33.12,60.00,26.88,-0.06,2.58,M3
19,00:34:36,33.25,60.00,26.75,-0.12,2.56,M3
20,00:34:38,33.31,60.00,26.69,-0.06,2.58,M3
21,00:34:40,33.38,60.00,26.62,-0.06,2.58,M3
22,00:34:42,33.50,60.00,26.50,-0.12,2.56,M3
23,00:34:44,33.62,60.00,26.38,-0.12,2.56,M3
24,00:34:46,33.75,60.00,26.25,-0.12,2.56,M3
25,00:34:48,33.81,60.00,26.19,-0.06,2.59,M3
26,00:34:50,33.88,60.00,26.12,-0.06,2.59,M3
27,00:34:52,34.06,60.00,25.94,-0.19,2.56,M3
28,00:34:54,34.12,60.00,25.88,-0.06,2.60,M3
29,00:34:56,34.25,60.00,25.75,-0.12,2.56,M3
30,00:34:58,34.38,60.00,25.62,-0.12,2.57,M3
31,00:35:00,34.50,60.00,25.50,-0.12,2.57,M3
32,00:35:02,34.62,60.00,25.38,-0.12,2.57,M3
33,00:35:04,34.75,60.00,25.25,-0.12,2.57,M3
34,00:35:06,34.81,60.00,25.19,-0.06,2.61,M3
35,00:35:08,34.94,60.00,25.06,-0.12,2.57,M3
36,00:35:10,35.06,60.00,24.94,-0.12,2.57,M3
37,00:35:12,35.19,60.00,24.81,-0.12,2.58,M3
38,00:35:14,35.31,60.00,24.69,-0.12,2.58,M3
39,00:35:16,35.44,60.00,24.56,-0.12,2.58,M3
40,00:35:18,35.56,60.00,24.44,-0.12,2.58,M3
41,00:35:20,35.69,60.00,24.31,-0.12,2.58,M3
42,00:35:22,35.81,60.00,24.19,-0.12,2.58,M3
43,00:35:24,35.94,60.00,24.06,-0.12,2.58,M3
44,00:35:26,36.06,60.00,23.94,-0.12,2.58,M3
45,00:35:28,36.12,60.00,23.88,-0.06,2.61,M3
46,00:35:30,36.25,60.00,23.75,-0.12,2.59,M3
47,00:35:32,36.38,60.00,23.62,-0.12,2.59,M3
