NO,TIME,SUHU,SET POINT,EROR,DELTA EROR,OUTPUT FUZZY,OUTPUT M
1,01:51:37,33.06,90.00,56.94,0.06,3.00,M3
2,01:51:39,33.06,90.00,56.94,0.00,3.00,M3
3,01:51:41,33.06,90.00,56.94,0.00,3.00,M3
4,01:51:43,33.06,90.00,56.94,0.00,3.00,M3
5,01:51:45,33.00,90.00,57.00,0.06,3.00,M3
6,01:51:47,33.00,90.00,57.00,0.00,2.61,M3
7,01:51:49,33.00,90.00,57.00,0.00,2.61,M3
8,01:51:51,33.00,90.00,57.00,0.00,2.61,M3
9,01:51:53,33.00,90.00,57.00,0.00,2.61,M3
10,01:51:55,33.00,90.00,57.00,0.00,2.61,M3
11,01:51:57,33.00,90.00,57.00,0.00,2.61,M3
12,01:51:59,33.00,90.00,57.00,0.00,2.61,M3
13,01:52:01,33.00,90.00,57.00,0.00,2.61,M3
14,01:52:03,33.06,90.00,56.94,-0.06,2.59,M3
15,01:52:05,33.12,90.00,56.88,-0.06,2.59,M3
16,01:52:07,33.12,90.00,56.88,0.00,2.61,M3
17,01:52:09,33.25,90.00,56.75,-0.12,2.57,M3
18,01:52:11,33.25,90.00,56.75,0.00,2.61,M3
19,01:52:13,33.31,90.00,56.69,-0.06,2.59,M3
20,01:52:15,33.38,90.00,56.62,-0.06,2.59,M3
21,01:52:17,33.44,90.00,56.56,-0.06,2.59,M3
22,01:52:19,33.50,90.00,56.50,-0.06,2.59,M3
23,01:52:21,33.62,90.00,56.38,-0.12,2.57,M3
24,01:52:23,33.69,90.00,56.31,-0.06,2.59,M3
25,01:52:26,33.75,90.00,56.25,-0.06,2.59,M3
26,01:52:28,33.88,90.00,56.12,-0.12,2.57,M3
27,01:52:30,34.00,90.00,56.00,-0.12,2.57,M3
28,01:52:32,34.06,90.00,55.94,-0.06,2.59,M3
29,01:52:34,34.19,90.00,55.81,-0.12,2.57,M3
30,01:52:36,34.31,90.00,55.69,-0.12,2.57,M3
31,01:52:38,34.44,90.00,55.56,-0.12,2.57,M3
32,01:52:40,34.50,90.00,55.50,-0.06,2.59,M3
33,01:52:42,34.62,90.00,55.38,-0.12,2.57,M3
34,01:52:44,34.69,90.00,55.31,-0.06,2.59,M3
35,01:52:46,34.88,90.00,55.12,-0.19,2.56,M3
36,01:52:48,34.94,90.00,55.06,-0.06,2.59,M3
37,01:52:50,35.06,90.00,54.94,-0.12,2.57,M3
38,01:52:52,35.19,90.00,54.81,-0.12,2.57,M3
39,01:52:54,35.31,90.00,54.69,-0.12,2.57,M3
40,01:52:56,35.44,90.00,54.56,-0.12,2.57,M3
41,01:52:58,35.56,90.00,54.44,-0.12,2.57,M3
42,01:53:00,35.69,90.00,54.31,-0.12,2.57,M3
43,01:53:02,35.75,90.00,54.25,-0.06,2.59,M3
44,01:53:04,35.88,90.00,54.12,-0.12,2.57,M3
45,01:53:06,36.00,90.00,54.00,-0.12,2.57,M3
46,01:53:08,36.12,90.00,53.88,-0.12,2.57,M3
47,01:53:10,36.25,90.00,53.75,-0.12,2.57,M3
48,01:53:12,36.38,90.00,53.62,-0.12,2.57,M3
49,01:53:14,36.50,90.00,53.50,-0.12,2.57,M3
50,01:53:16,36.62,90.00,53.38,-0.12,2.57,M3
51,01:53:18,36.75,90.00,53.25,-0.12,2.57,M3
52,01:53:20,36.81,90.00,53.19,-0.06,2.59,M3
53,01:53:22,36.94,90.00,53.06,-0.12,2.57,M3
54,01:53:24,37.06,90.00,52.94,-0.12,2.57,M3
55,01:53:26,37.19,90.00,52.81,-0.12,2.57,M3
56,01:53:28,37.31,90.00,52.69,-0.12,2.57,M3
57,01:53:30,37.44,90.00,52.56,-0.12,2.57,M3
58,01:53:32,37.50,90.00,52.50,-0.06,2.59,M3
59,01:53:34,37.62,90.00,52.38,-0.12,2.57,M3
60,01:53:36,37.94,90.00,52.06,-0.12,2.57,M3
61,01:53:38,38.06,90.00,51.94,-0.12,2.57,M3
62,01:53:40,38.19,90.00,51.81,-0.12,2.57,M3
63,01:53:42,38.25,90.00,51.75,-0.06,2.59,M3
64,01:53:44,38.44,90.00,51.56,-0.19,2.56,M3
65,01:53:46,38.56,90.00,51.44,-0.12,2.57,M3
66,01:53:48,38.69,90.00,51.31,-0.12,2.57,M3
67,01:53:50,38.81,90.00,51.19,-0.12,2.57,M3
68,01:53:52,38.88,90.00,51.12,-0.06,2.59,M3
69,01:53:54,39.00,90.00,51.00,-0.12,2.57,M3
70,01:53:56,39.12,90.00,50.88,-0.12,2.57,M3
71,01:53:58,39.31,90.00,50.69,-0.19,2.56,M3
72,01:54:00,39.38,90.00,50.62,-0.06,2.59,M3
73,01:54:02,39.50,90.00,50.50,-0.12,2.57,M3
74,01:54:04,39.62,90.00,50.38,-0.12,2.57,M3
75,01:54:06,39.75,90.00,50.25,-0.12,2.57,M3
76,01:54:09,39.88,90.00,50.12,-0.12,2.57,M3
77,01:54:11,40.00,90.00,50.00,-0.12,2.57,M3
78,01:54:13,40.12,90.00,49.88,-0.12,2.57,M3
79,01:54:15,40.25,90.00,49.75,-0.12,2.57,M3
80,01:54:17,40.38,90.00,49.62,-0.12,2.57,M3
81,01:54:19,40.50,90.00,49.50,-0.12,2.57,M3
82,01:54:21,40.62,90.00,49.38,-0.12,2.57,M3
83,01:54:23,40.75,90.00,49.25,-0.12,2.57,M3
84,01:54:25,40.88,90.00,49.12,-0.12,2.57,M3
85,01:54:27,40.94,90.00,49.06,-0.06,2.59,M3
86,01:54:29,41.06,90.00,48.94,-0.12,2.57,M3
87,01:54:31,41.19,90.00,48.81,-0.12,2.57,M3
88,01:54:33,41.31,90.00,48.69,-0.12,2.57,M3
