NO,TIME,SUHU,SET POINT,EROR,DELTA EROR,OUTPUT ANFIS,OUTPUT M
1,00:18:17,31.12,90.00,58.88,-0.06,3.00,M3
2,00:18:19,31.19,90.00,58.81,-0.06,3.00,M3
3,00:18:21,31.25,90.00,58.75,-0.06,3.00,M3
4,00:18:23,31.31,90.00,58.69,-0.06,3.00,M3
5,00:18:25,31.31,90.00,58.69,0.00,3.00,M3
6,00:18:27,31.31,90.00,58.69,0.00,2.61,M3
7,00:18:29,31.38,90.00,58.62,-0.06,2.59,M3
8,00:18:31,31.38,90.00,58.62,0.00,2.61,M3
9,00:18:33,31.44,90.00,58.56,-0.06,2.59,M3
10,00:18:36,31.50,90.00,58.50,-0.06,2.59,M3
11,00:18:38,31.50,90.00,58.50,0.00,2.61,M3
12,00:18:40,31.56,90.00,58.44,-0.06,2.59,M3
13,00:18:42,31.56,90.00,58.44,0.00,2.61,M3
14,00:18:44,31.62,90.00,58.38,-0.06,2.59,M3
15,00:18:46,31.69,90.00,58.31,-0.06,2.59,M3
16,00:18:48,31.75,90.00,58.25,-0.06,2.59,M3
17,00:18:50,31.75,90.00,58.25,0.00,2.61,M3
18,00:18:52,31.81,90.00,58.19,-0.06,2.59,M3
19,00:18:54,31.88,90.00,58.12,-0.06,2.59,M3
20,00:18:56,32.00,90.00,58.00,-0.12,2.57,M3
21,00:18:58,32.06,90.00,57.94,-0.06,2.59,M3
22,00:19:00,32.19,90.00,57.81,-0.12,2.57,M3
23,00:19:02,32.25,90.00,57.75,-0.06,2.59,M3
24,00:19:04,32.44,90.00,57.56,-0.12,2.57,M3
25,00:19:06,32.50,90.00,57.50,-0.06,2.59,M3
26,00:19:08,32.62,90.00,57.38,-0.12,2.57,M3
27,00:19:10,32.75,90.00,57.25,-0.12,2.57,M3
28,00:19:12,32.81,90.00,57.19,-0.06,2.59,M3
29,00:19:14,32.94,90.00,57.06,-0.12,2.57,M3
30,00:19:16,33.06,90.00,56.94,-0.12,2.57,M3
