NO,TIME,SUHU,VOLT_PH,PH,SET_POINT,EROR,DELTA_EROR,AKSI
1,07:27:21,46.38,1.7473,4.5,4.5,0.04,0.04,UP
2,07:31:00,48.50,1.7340,4.5,4.5,-0.03,-0.07,UP
3,07:34:39,50.44,1.7073,4.7,4.5,-0.21,-0.17,UP
4,07:38:17,52.38,1.6699,4.9,4.5,-0.41,-0.20,UP
5,07:41:56,54.19,1.6433,5.2,4.5,-0.68,-0.27,UP
6,07:45:35,54.19,1.6175,5.3,4.5,-0.84,-0.17,UP
7,07:49:14,53.25,1.6787,4.9,4.5,-0.40,0.44,UP
8,07:52:53,52.25,1.6737,5.0,4.5,-0.51,-0.11,UP
9,07:56:31,51.31,1.6737,4.8,4.5,-0.34,0.17,UP
10,08:00:10,50.38,1.6521,5.1,4.5,-0.63,-0.29,UP
11,08:03:49,49.56,1.6763,4.9,4.5,-0.44,0.19,UP
12,08:07:28,48.69,1.6678,5.0,4.5,-0.54,-0.10,UP
13,08:11:07,47.94,1.6627,5.1,4.5,-0.55,-0.01,UP
14,08:14:45,47.19,1.6180,5.7,4.5,-1.18,-0.63,UP
15,08:18:24,46.50,1.6120,5.4,4.5,-0.86,0.32,UP
16,08:22:03,45.81,1.6055,5.4,4.5,-0.93,-0.06,UP
17,08:25:42,45.19,1.5977,5.4,4.5,-0.91,0.02,UP
18,08:29:21,44.56,1.6458,5.1,4.5,-0.62,0.29,UP
19,08:33:00,43.94,1.6369,5.2,4.5,-0.68,-0.06,UP
20,08:36:38,43.38,1.5961,5.5,4.5,-1.00,-0.33,UP
21,08:40:17,42.81,1.6401,5.2,4.5,-0.72,0.28,UP
22,08:43:56,42.31,1.6381,5.2,4.5,-0.70,0.02,UP
23,08:47:35,41.81,1.5897,5.5,4.5,-1.02,-0.32,UP
24,08:51:14,41.31,1.5835,5.6,4.5,-1.07,-0.04,UP
25,08:54:52,40.81,1.6449,5.1,4.5,-0.63,0.44,UP
26,08:58:31,40.38,1.6520,5.1,4.5,-0.61,0.03,UP
27,09:02:10,40.00,1.6615,5.1,4.5,-0.56,0.04,UP
28,09:05:49,39.56,1.6469,5.1,4.5,-0.64,-0.07,UP
29,09:09:28,39.12,1.6163,5.4,4.5,-0.94,-0.30,UP
30,09:13:06,38.81,1.6519,5.1,4.5,-0.60,0.34,UP
