NO,TIME,SUHU,VOLT_PH,PH,SET_POINT,EROR,DELTA_EROR,AKSI,DURASI_MS
1,04:50:16,28.88,1.7084,4.94,4.5,-0.44,-0.44,DOWN,7625
2,04:56:19,28.88,1.8849,3.75,4.5,0.75,1.19,DOWN,1968
3,05:02:23,28.88,1.7546,4.62,4.5,-0.12,-0.88,UP,3403
4,05:06:24,28.81,1.7246,4.83,4.5,-0.33,-0.20,IDLE,0
5,05:12:26,28.81,1.7611,4.58,4.5,-0.08,0.25,DOWN,1470
6,05:16:27,28.81,1.7666,4.54,4.5,-0.04,0.04,IDLE,0
7,05:20:28,28.81,1.7672,4.54,4.5,-0.04,0.00,IDLE,0
8,05:24:29,28.81,1.7498,4.66,4.5,-0.16,-0.12,IDLE,0
9,05:30:31,28.81,1.8090,4.26,4.5,0.24,0.40,DOWN,1000
10,05:36:33,28.75,1.7647,4.56,4.5,-0.06,-0.30,UP,1099
11,05:40:34,28.75,1.7505,4.65,4.5,-0.15,-0.10,IDLE,0
12,05:46:36,28.75,1.7995,4.32,4.5,0.18,0.33,DOWN,1000
13,05:52:38,28.75,1.7548,4.62,4.5,-0.12,-0.30,UP,1000
14,05:56:39,28.75,1.7375,4.74,4.5,-0.24,-0.12,IDLE,0
15,06:02:40,28.75,1.7691,4.53,4.5,-0.03,0.21,DOWN,1064
16,06:06:41,28.75,1.7842,4.42,4.5,0.08,0.10,IDLE,0
17,06:10:42,28.69,1.7830,4.43,4.5,0.07,-0.01,IDLE,0
18,06:14:43,28.69,1.7776,4.47,4.5,0.03,-0.04,IDLE,0
19,06:18:44,28.69,1.7894,4.39,4.5,0.11,0.08,IDLE,0
20,06:22:45,28.69,1.7900,4.38,4.5,0.12,0.00,IDLE,0
21,06:26:46,28.62,1.7792,4.46,4.5,0.04,-0.07,IDLE,0
22,06:30:47,28.69,1.7752,4.48,4.5,0.02,-0.03,IDLE,0
23,06:34:48,28.69,1.7684,4.53,4.5,-0.03,-0.05,IDLE,0
24,06:38:49,28.62,1.7728,4.50,4.5,-0.00,0.03,IDLE,0
25,06:42:50,28.69,1.7821,4.44,4.5,0.06,0.06,IDLE,0
26,06:46:51,28.62,1.7804,4.45,4.5,0.05,-0.01,IDLE,0
27,06:50:52,28.69,1.7725,4.50,4.5,-0.00,-0.05,IDLE,0
28,06:54:53,28.69,1.7727,4.50,4.5,-0.00,0.00,IDLE,0
29,06:58:54,28.69,1.7851,4.42,4.5,0.08,0.08,IDLE,0
30,07:02:55,28.69,1.7821,4.44,4.5,0.06,-0.02,IDLE,0
31,07:06:56,28.69,1.7983,4.33,4.5,0.17,0.11,IDLE,0
32,07:12:58,28.69,1.7319,4.78,4.5,-0.28,-0.45,UP,1000
33,07:19:00,28.69,1.7820,4.44,4.5,0.06,0.34,DOWN,1247
34,07:23:01,28.69,1.7917,4.37,4.5,0.13,0.07,IDLE,0
35,07:27:02,28.69,1.7983,4.33,4.5,0.17,0.04,IDLE,0
